pic_id,easting,northing,altitude,long,lat
0,737702.138,3754767.256,267.5,-84.42915425,33.90652021
1,737697.379,3754766.087,267.6,-84.42920599,33.90651075
2,737692.752,3754764.589,267.7,-84.42925639,33.9064983
3,737687.95,3754763.543,267.8,-84.42930857,33.90648996
4,737682.947,3754763.884,267.9,-84.42936254,33.90649416
5,737679.997,3754768.313,268.096,-84.42939322,33.90653473
6,737679.395,3754773.411,268.1,-84.42939834,33.9065808
7,737679.271,3754778.359,268.161,-84.42939834,33.90662541
8,737678.995,3754783.246,268.2,-84.4294,33.9066695
9,737678.717,3754788.166,268.26,-84.42940167,33.90671389
10,737678.437,3754793.199,268.356,-84.42940334,33.9067593
11,737678.159,3754798.14,268.434,-84.429405,33.90680388
12,737677.88,3754803.072,268.501,-84.42940668,33.90684838
13,737677.502,3754808.121,268.664,-84.4294094,33.90689396
14,737677.13,3754813.006,268.826,-84.4294121,33.90693806
15,737676.738,3754817.962,268.987,-84.429415,33.9069828
16,737676.235,3754822.916,269.246,-84.42941909,33.90702755
17,737675.727,3754827.731,269.497,-84.42942328,33.90707105
18,737675.074,3754832.663,269.7,-84.429429,33.90711563
19,737674.458,3754837.685,269.879,-84.42943429,33.90716102
20,737673.776,3754842.564,270.01,-84.42944034,33.90720513
21,737672.947,3754847.398,270.34,-84.42944799,33.90724887
22,737671.967,3754852.322,270.567,-84.42945725,33.90729346
23,737671,3754857.153,270.795,-84.42946639,33.9073372
24,737670.014,3754862.117,270.921,-84.4294757,33.90738215
25,737668.955,3754866.935,271.15,-84.42948584,33.9074258
26,737667.907,3754871.844,271.383,-84.42949584,33.90747027
27,737666.87,3754876.672,271.622,-84.42950574,33.907514
28,737665.839,3754881.507,271.867,-84.42951557,33.9075578
29,737664.782,3754886.382,272.02,-84.42952567,33.90760196
30,737663.972,3754891.272,272.286,-84.4295331,33.9076462
31,737663.091,3754896.262,272.576,-84.42954127,33.90769136
32,737662.623,3754901.185,272.883,-84.429545,33.90773582
33,737662.518,3754906.059,273.111,-84.42954482,33.90777976
34,737663.156,3754910.936,273.452,-84.4295366,33.90782356
35,737664.334,3754915.657,273.863,-84.42952259,33.90786583
36,737666.127,3754920.166,274.195,-84.429502,33.90790605
37,737668.452,3754924.61,274.492,-84.42947567,33.90794556
38,737671.175,3754928.8,274.7,-84.42944511,33.9079827
39,737674.114,3754932.819,274.933,-84.42941227,33.90801825
40,737677.113,3754936.732,275.084,-84.4293788,33.90805283
41,737680.15,3754940.757,275.223,-84.42934489,33.90808841
42,737683.239,3754944.656,275.352,-84.42931046,33.90812284
43,737686.044,3754948.717,275.473,-84.42927905,33.9081588
44,737689.04,3754952.714,275.5,-84.42924559,33.90819413
45,737691.784,3754956.759,275.59,-84.42921484,33.90822996
46,737694.588,3754961.014,275.6,-84.42918339,33.90826766
47,737697.334,3754965.051,275.5,-84.42915263,33.90830342
48,737700.145,3754969.329,275.5,-84.42912109,33.90834133
49,737702.782,3754973.372,275.5,-84.4290915,33.90837716
50,737705.491,3754977.572,275.4,-84.42906109,33.90841439
51,737708.287,3754981.738,275.378,-84.42902975,33.90845129
52,737710.999,3754985.791,275.3,-84.42899934,33.9084872
53,737713.744,3754990.005,275.2,-84.42896854,33.90852455
54,737716.464,3754994.086,275.1,-84.42893804,33.9085607
55,737719.198,3754998.175,275.013,-84.42890739,33.90859693
56,737721.99,3755002.324,274.956,-84.4288761,33.90863368
57,737724.756,3755006.408,274.9,-84.4288451,33.90866985
58,737727.641,3755010.442,274.8,-84.42881284,33.90870555
59,737730.486,3755014.416,274.7,-84.42878102,33.90874071
60,737733.37,3755018.527,274.648,-84.42874874,33.9087771
61,737736.368,3755022.592,274.6,-84.42871524,33.90881305
62,737739.268,3755026.531,274.5,-84.42868284,33.90884788
63,737742.158,3755030.626,274.41,-84.4286505,33.90888413
64,737745.098,3755034.632,274.366,-84.42861764,33.90891956
65,737748.117,3755038.568,274.3,-84.42858396,33.90895434
66,737751.128,3755042.56,274.28,-84.42855034,33.90898963
67,737754.118,3755046.456,274.2,-84.42851697,33.90902405
68,737757.263,3755050.317,274.1,-84.42848194,33.90905813
69,737760.339,3755054.284,274.1,-84.42844763,33.90909318
70,737763.564,3755058.081,274.007,-84.42841175,33.90912666
71,737766.702,3755061.954,274,-84.42837679,33.90916085
72,737769.938,3755065.753,273.911,-84.42834079,33.90919435
73,737773.078,3755069.697,273.9,-84.42830579,33.90922917
74,737776.251,3755073.515,273.9,-84.42827047,33.90926286
75,737779.513,3755077.247,274,-84.42823421,33.90929575
76,737782.667,3755081.001,274,-84.42819911,33.90932886
77,737785.878,3755084.901,274,-84.42816336,33.90936327
78,737788.996,3755088.737,274,-84.42812863,33.90939713
79,737792.146,3755092.579,274,-84.42809354,33.90943103
80,737795.325,3755096.445,274.1,-84.42805814,33.90946515
81,737798.471,3755100.227,274.1,-84.42802312,33.90949851
82,737801.722,3755103.948,274.2,-84.42798699,33.90953131
83,737804.831,3755107.81,274.266,-84.42795234,33.9095654
84,737807.999,3755111.554,274.3,-84.42791709,33.90959842
85,737811.276,3755115.292,274.4,-84.42788067,33.90963136
86,737814.511,3755119.155,274.5,-84.42784467,33.90966543
