ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
16146815,754950.718,3741929.097,293.399,0.714,-0.3016,6.612,62415.099989999995,-84.24650193800001,33.786831925
16146922,754950.784,3741928.74,293.383,0.741,-0.3016,6.641,62415.1133,-84.246501325,33.786828686
16147028,754950.849,3741928.373,293.365,0.71,-0.3015,6.678999999999999,62415.1266,-84.246500731,33.786825371
16147344,754951.037,3741927.242,293.372,0.718,-0.29125,6.807,62415.166470000004,-84.24649902600001,33.78681513
16147450,754951.104,3741926.887,293.357,0.765,-0.29135,6.832999999999999,62415.17978,-84.246498407,33.786811917
16150004,754952.732,3741917.622,293.669,0.722,-0.19901,7.919,62415.51209,-84.246483516,33.78672806
16150005,754952.736,3741917.641,293.59,0.71,-0.20928000000000002,7.917999999999999,62415.51212000001,-84.246483466,33.786728227
16150107,754952.805,3741917.247,293.658,0.753,-0.19891,7.965,62415.5254,-84.246482837,33.786724669
16150108,754952.81,3741917.273,293.581,0.745,-0.20918,7.957000000000001,62415.525429999994,-84.246482773,33.786724897
16150210,754952.88,3741916.884,293.649,0.741,-0.19901,8.0,62415.53871,-84.246482135,33.786721375999996
16150211,754952.881,3741916.885,293.565,0.753,-0.20929,8.017999999999999,62415.538739999996,-84.246482124,33.786721381999996
16150314,754952.952,3741916.507,293.637,0.757,-0.19901,8.049,62415.55202999999,-84.246481461,33.786717959
16150315,754952.956,3741916.522,293.556,0.706,-0.20929,8.052,62415.55206,-84.24648141899999,33.786718095
16150418,754953.02,3741916.11,293.707,0.733,-0.18864,8.1,62415.565310000005,-84.24648084,33.78671437
16150419,754953.023,3741916.122,293.624,0.737,-0.19892,8.106,62415.56534,-84.246480805,33.786714474
16150523,754953.094,3741915.738,293.696,0.737,-0.18875,8.144,62415.578610000004,-84.246480157,33.786711001
16150524,754953.102,3741915.78,293.62,0.733,-0.19902,8.119,62415.57864,-84.24648005899999,33.786711373
16150627,754953.167,3741915.368,293.686,0.745,-0.18875,8.185,62415.591920000006,-84.246479468,33.786707654000004
16150628,754953.169,3741915.37,293.601,0.749,-0.19902,8.201,62415.591960000005,-84.246479453,33.786707672
16150731,754953.236,3741914.998,293.676,0.737,-0.18865,8.231,62415.605229999994,-84.24647884,33.786704304000004
16150732,754953.237,3741915.001,293.59,0.745,-0.19892,8.247,62415.605260000004,-84.246478826,33.786704324
16150835,754953.295,3741914.628,293.662,0.741,-0.18875,8.285,62415.618539999996,-84.246478304,33.78670095
16150938,754953.353,3741914.251,293.736,0.741,-0.17848,8.328,62415.63182,-84.246477792,33.786697538
16150939,754953.355,3741914.261,293.651,0.745,-0.18875999999999998,8.334,62415.63186,-84.246477759,33.786697636
16151044,754953.414,3741913.893,293.727,0.745,-0.17837999999999998,8.368,62415.64513,-84.24647722899999,33.786694302
16151045,754953.416,3741913.899,293.641,0.749,-0.18866,8.379,62415.64516,-84.246477207,33.786694359
16151149,754953.475,3741913.53,293.716,0.737,-0.17849,8.414,62415.658429999996,-84.246476679,33.786691019
16151150,754953.481,3741913.562,293.635,0.749,-0.18875999999999998,8.399,62415.658460000006,-84.246476602,33.786691301
16151253,754953.535,3741913.159,293.704,0.741,-0.17849,8.468,62415.67174,-84.246476145,33.786687663
16151254,754953.54,3741913.185,293.621,0.745,-0.18875999999999998,8.459,62415.67177000001,-84.246476081,33.786687893
16151357,754953.597,3741912.806,293.697,0.745,-0.17839000000000002,8.503,62415.68506,-84.246475572,33.786684468000004
16151461,754953.652,3741912.416,293.769,0.729,-0.16822,8.561,62415.69832999999,-84.24647509100001,33.786680935999996
