Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
0,754988.8652654323,3741747.5742654316,303.4127283950617,0.7678395061728396,-84.2461427419877,33.78518743009258,162
1,754988.9959199994,3741747.431382858,301.5481600000001,0.7872685714285715,-84.24614137415429,33.785186111245714,175
2,754988.9147,3741747.297428572,300.30927142857144,0.8064285714285712,-84.24614228858572,33.78518492474285,70
3,754990.2375733334,3741747.8253733334,302.95295999999996,0.7347466666666665,-84.24612786385335,33.78518936205332,75
4,754990.7292444448,3741747.7814055556,301.02194444444444,0.7442055555555552,-84.24612257159444,33.78518884727777,180
5,754990.5951081079,3741747.6718918923,300.1237837837837,0.7635945945945944,-84.24612405091891,33.78518789299999,37
6,755029.368677419,3741547.4993548393,298.4630107526881,0.7956236559139784,-84.2457634962688,33.783375237537626,93
7,755040.0843863635,3741526.8587500006,302.389409090909,0.7615454545454543,-84.24565384497727,33.7831867088409,44
8,755128.69077193,3741262.6521228077,298.64719298245615,0.7673333333333335,-84.24477417007019,33.780785171298234,57
9,755149.3867804878,3741220.5069024395,298.43621951219507,0.7573414634146339,-84.24456306007318,33.78040050560976,41
10,755171.2083846155,3741182.9338461533,298.2697307692307,0.752230769230769,-84.24433848834616,33.78005675557692,26
11,755220.6460800001,3741117.165160001,297.4029600000001,0.7411199999999998,-84.2438241306,33.77945234159999,25
12,755376.5161555555,3741016.57428889,296.2912888888889,0.8265333333333333,-84.24217162984444,33.77850854442221,45
13,756024.0589782611,3740466.009923914,290.2251195652173,0.7693369565217391,-84.23534534061957,33.77339223330436,92
14,756024.029173913,3740465.9721304346,288.56004347826087,0.7580434782608698,-84.23534567331882,33.77339189953624,69
15,756025.6455272726,3740467.4558909084,288.7511272727273,0.7741272727272728,-84.23532780660001,33.77340487556364,55
16,756025.6470799999,3740467.4711199994,290.42222000000004,0.7740200000000003,-84.23532778514002,33.77340501272,50
17,756127.0218571428,3740348.4435238093,286.976,0.801047619047619,-84.23426869766665,33.77230820504763,21
18,756173.9069146342,3740262.6414512186,294.88039024390247,0.767926829268293,-84.23378779459752,33.771523895853655,82
19,756174.3785714281,3740262.6812063474,293.06583597883593,0.7750264550264552,-84.233782694836,33.77152413962962,189
20,756174.742954023,3740262.7534827585,291.98785057471275,0.7771839080459771,-84.2337787435287,33.77152470272414,87
21,756184.2898888891,3740229.0605185176,287.20942592592587,0.7670740740740742,-84.23368552125928,33.77121886266666,54
22,756196.1899999998,3740206.3561785715,286.3327142857143,0.8138214285714286,-84.2335637315,33.77101144664285,28
23,756245.8614318182,3740056.342227273,290.2131818181818,0.7767500000000002,-84.23307139432956,33.76964799364773,88
24,756245.8189399999,3740056.314439999,291.7008600000001,0.76158,-84.23307186107996,33.76964775359999,50
25,756247.133981132,3740056.7782830186,289.5586981132076,0.7783962264150945,-84.23305754101887,33.76965161462265,53
26,756247.9350582524,3740057.04931068,291.23333980582527,0.7829417475728161,-84.23304882122328,33.76965386108738,103
27,756248.772372093,3740057.3653953485,289.6423720930233,0.7715581395348835,-84.23303969741862,33.769656505813956,43
